2020-08-21 18:39:08.477 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(308) buildDefaultMergedContextConfiguration - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.shenxu.zuul.redis.RedisList], using SpringBootContextLoader
2020-08-21 18:39:08.512 [main] INFO  org.springframework.test.context.support.AbstractContextLoader(264) generateDefaultLocations - Could not detect default resource locations for test class [com.shenxu.zuul.redis.RedisList]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-08-21 18:39:08.514 [main] INFO  org.springframework.test.context.support.AnnotationConfigContextLoaderUtils(83) detectDefaultConfigurationClasses - Could not detect default configuration classes for test class [com.shenxu.zuul.redis.RedisList]: RedisList does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-08-21 18:39:08.835 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(237) getOrFindConfigurationClasses - Found @SpringBootConfiguration com.shenxu.zuul.ZuulApplication for test class com.shenxu.zuul.redis.RedisList
2020-08-21 18:39:09.033 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(248) getDefaultTestExecutionListenerClassNames - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-08-21 18:39:09.080 [main] INFO  org.springframework.boot.test.context.SpringBootTestContextBootstrapper(177) getTestExecutionListeners - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@3b8f0a79, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@71e693fa, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@48793bef, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@7d286fb6, org.springframework.test.context.support.DirtiesContextTestExecutionListener@3eb77ea8, org.springframework.test.context.transaction.TransactionalTestExecutionListener@7b8b43c7, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@7aaca91a, org.springframework.test.context.event.EventPublishingTestExecutionListener@44c73c26, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@41005828, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@60b4beb4, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@7fcf2fc1, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@2141a12, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@4196c360, org.springframework.boot.test.autoconfigure.webservices.client.MockWebServiceServerTestExecutionListener@41294f8]
2020-08-21 18:39:10.865 [main] INFO  com.shenxu.zuul.redis.RedisList(651) logStartupProfileInfo - No active profile set, falling back to default profiles: default
2020-08-21 18:39:12.534 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate(249) multipleStoresDetected - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-08-21 18:39:12.551 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate(127) registerRepositoriesIn - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-08-21 18:39:12.632 [main] INFO  org.springframework.data.repository.config.RepositoryConfigurationDelegate(187) registerRepositoriesIn - Finished Spring Data repository scanning in 38ms. Found 0 Redis repository interfaces.
2020-08-21 18:39:12.765 [main] WARN  org.springframework.boot.actuate.endpoint.EndpointId(155) logWarning - Endpoint ID 'hystrix.stream' contains invalid characters, please migrate to a valid format.
2020-08-21 18:39:13.006 [main] INFO  org.springframework.cloud.context.scope.GenericScope(295) setSerializationId - BeanFactory id=6a02468a-1339-300f-8573-b97a00faa80e
2020-08-21 18:39:14.197 [main] WARN  com.netflix.config.sources.URLConfigurationSource(121) <init> - No URLs will be polled as dynamic configuration sources.
2020-08-21 18:39:14.198 [main] INFO  com.netflix.config.sources.URLConfigurationSource(122) <init> - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2020-08-21 18:39:14.221 [main] INFO  com.netflix.config.DynamicPropertyFactory(281) getInstance - DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@2e43c38d
2020-08-21 18:39:15.921 [main] WARN  com.netflix.config.sources.URLConfigurationSource(121) <init> - No URLs will be polled as dynamic configuration sources.
